"file_row_index","file_section_name","file_seg_name","file_section_id","file_loc_from","file_loc_to","file_lane_name","file_length","file_area_m2","file_can_treat_flag","file_is_rehab_route_flag","file_is_roundabout_flag","file_next_surf","file_urban_rural","file_onrc","file_nzta_hierarchy","file_onf_street_category","file_onf_movement_rank","file_onf_freight","file_road_use","file_road_class","file_no_of_lanes","file_pave_use","file_adt","file_heavy_perc","file_no_of_bus_routes","file_traff_growth_perc","file_surf_class","file_surf_date","file_surf_function","file_surf_material","file_surf_life_expected","file_surf_layer_no","file_surf_thick","file_pave_type","file_pave_date","file_pave_remlife","file_msd_remlife_lwp","file_msd_remlife_rwp","file_fwd_d0_85","file_fwd_sci_85","file_su_fault_qty","file_pa_fault_qty","file_roughsegment_date","file_naasra_85","file_hsd_date","file_rut_lwpmean_85","file_rut_rwpmean_85","file_cond_survey_date","file_pct_allig","file_pct_lt_crax","file_pct_poth","file_pct_scabb","file_pct_flush","file_pct_shove","file_pct_edgebreak"
50,"Elm Close",314000,19,82,101,"All",19,118,TRUE,TRUE,FALSE,"ac","U","Low Volume","LOCAL","zz","zz","zz","zz","UL",2,1,92,3,0,2,"ac","23/01/2018","R","AC",10,2,30,TRUE,"4/01/1955",-19,-1,-1,-1,-1,0,0,"1/04/2024",163,"1/04/2024",4,1,"1/04/2024",0,0,0,0,0,0,0
51,"Burkes Creek Road",664000,20,0,21,"All",21,273,TRUE,TRUE,FALSE,"seal","U","Primary Collector","MINOR ARTERIAL","zz","zz","zz","zz","UH",2,4,2022,5,0,2,"seal","17/02/2014","R","2CHIP",12,1,8,TRUE,"1/09/1974",1,-1,-1,-1,-1,0,0,"6/10/2023",72,"1/04/2024",3,1,"1/04/2024",0,0,0,0,0,0,0
52,"Burkes Creek Road",747000,20,21,520,"All",499,6614,TRUE,TRUE,FALSE,"seal","U","Primary Collector","MINOR ARTERIAL","zz","zz","zz","zz","UH",2,4,2426,4.5,0,2,"seal","17/02/2014","R","2CHIP",12,4,28,TRUE,"1/09/1974",1,-1,-1,-1,-1,0,0,"6/10/2023",70,"1/04/2024",3,1,"1/04/2024",0,0,0,0,0,0,0
53,"Burkes Creek Road",795000,20,549,697,"All",148,1924,TRUE,TRUE,FALSE,"seal","U","Primary Collector","MINOR ARTERIAL","zz","zz","zz","zz","UH",2,4,2700,4,0,2,"seal","21/01/2012","R","2CHIP",12,3,27,TRUE,"2/06/1981",7,-1,-1,-1,-1,0,0,"6/10/2023",77,"1/04/2024",3,1,"1/04/2024",0.2,0,0.01,1,0,0,0
54,"Burkes Creek Road",197000,20,697,765,"All",68,884,TRUE,TRUE,FALSE,"ac","U","Primary Collector","MINOR ARTERIAL","zz","zz","zz","zz","UH",2,4,2700,4,0,2,"ac","4/03/2014","R","AC",16,4,57,TRUE,"2/06/1981",7,-1,-1,-1,-1,0,0,"6/10/2023",64,"1/04/2024",2,1,"1/04/2024",0,0.2,0,0,0,0,0
55,"Burkes Creek Road",757000,20,765,1789,"All",1024,13312,TRUE,TRUE,FALSE,"seal","U","Primary Collector","MINOR ARTERIAL","zz","zz","zz","zz","UH",2,4,2527,4.9,0,2,"seal","21/01/2012","R","2CHIP",12,7,51,TRUE,"2/06/1981",7,-1,-1,-1,-1,0,0,"6/10/2023",67,"1/04/2024",3,1,"1/04/2024",0,0,0.02,1,0,0,0
56,"Tapeka Heights Lane",62000,21,0,277,"All",277,3601,TRUE,TRUE,FALSE,"seal","U","Access","LOCAL","zz","zz","zz","zz","UL",2,3,1476,3,0,2,"seal","13/01/2007","R","2CHIP",17,4,36,TRUE,"2/01/1934",-40,-1,-1,-1,-1,0,0,"4/10/2023",69,"1/04/2024",3,1,"1/04/2024",0,0,0,0,0,0,0
57,"Sir John McKenzie Drive",677000,22,0,530,"All",530,4293,TRUE,TRUE,FALSE,"seal","U","Access","LOCAL","zz","zz","zz","zz","UL",2,2,239,4,0,2,"seal","10/12/2015","R","2CHIP",10,3,24,TRUE,"1/12/1966",-7,-1,-1,-1,-1,0,0,"10/10/2023",91,"1/04/2024",3,1,"1/04/2024",0,0,0,0.7,0,0,0
58,"Apple Orchard Lane",633000,23,0,185,"All",185,1850,TRUE,TRUE,FALSE,"seal","U","Low Volume","LOCAL","zz","zz","zz","zz","UL",2,1,92,4,0,2,"ac","6/12/1986","R","AC",30,1,20,TRUE,"25/01/1966",-8,-1,-1,-1,-1,0,0,"4/10/2023",88,"1/04/2024",2,1,"1/04/2024",0,0.7,0,0,0,0,0
59,"Railway Terrace East",868000,974,0,730,"All",730,5394,TRUE,TRUE,FALSE,"seal","R","Access","LOCAL","zz","zz","zz","zz","RL",2,3,1063,9,0,2,"seal","17/02/2014","R","1CHIP",16,3,24,TRUE,"2/01/1989",15,-1,-1,-1,-1,0,0,"7/10/2023",70,"1/04/2024",3,1,"1/04/2024",0,0,0,0,0,0,0
60,"George Noble Road",292000,24,0,272,"All",272,2211,TRUE,TRUE,FALSE,"seal","U","Access","LOCAL","zz","zz","zz","zz","UL",2,2,490,4,0,2,"seal","14/03/2015","R","2CHIP",12,3,24,TRUE,"1/05/1950",-24,-1,-1,-1,-1,0,0,"9/10/2023",160,"1/04/2024",3,1,"1/04/2024",0,0,0,0.2,0.9,0,0
61,"George Noble Road",15000,24,272,286,"All",14,106,TRUE,TRUE,FALSE,"ac","U","Access","LOCAL","zz","zz","zz","zz","UL",2,2,356,4,0,2,"ac","18/11/2014","R","AC",30,2,50,TRUE,"1/05/1950",-24,-1,-1,-1,-1,0,0,"9/10/2023",163,"1/04/2024",2,1,"1/04/2024",0,0,0,0,0,0,0
