file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,elem_index,treatment,treat_category,budget_category,period,period_calendar,forced,follow_up,treatment_cost,treatment_qty,treatment_comment,treatment_reason,is_committed
10,Upper Ahu Ahu Road,0,46,All,14,ChipSeal_P,Preserve,Mono,1,2024,True,False,3680,368,committed import,committed,True
32,Karearea Lane,84,154,All,74,ChipSeal_P,Preserve,Mono,1,2024,True,False,7920,792,committed import,committed,True
32,Karearea Lane,154,820,All,75,ChipSeal_P,Preserve,Mono,1,2024,True,False,77210,7721,committed import,committed,True
9339,Weston Way,1051,1219,All,35,ChipSeal_P,Preserve,Mono,2,2025,False,False,37300,3730,mesh_cracks =0.22; shove =0.08; poth =0.08,pdi =1.13; sdi =1.12; age =17,False
917,Port Street East,1340,1431,All,436,ChipSeal_P,Preserve,Mono,2,2025,False,False,4870,487,mesh_cracks =0.1; shove =0.07; poth =0.07,pdi =0.91; sdi =0.92; age =20,False
27,Gallop Lane,0,116,All,485,ChipSeal_P,Preserve,Mono,2,2025,False,False,9510,951,mesh_cracks =0.11; shove =0; poth =0,pdi =0.15; sdi =16.27; age =9,False
917,Port Street East,396,874,All,494,ChipSeal_P,Preserve,Mono,2,2025,False,False,29480,2948,mesh_cracks =0.1; shove =2.5; poth =0.07,pdi =3.36; sdi =8.27; age =20,False
917,Port Street East,1340,1431,All,23,ChipSeal_P,Preserve,Mono,2,2025,False,False,4870,487,mesh_cracks =0.1; shove =0.07; poth =0.07,pdi =0.91; sdi =2.35; age =20,False
32,Karearea Lane,154,820,All,291,ChipSeal_P,Preserve,Mono,2,2025,False,False,77210,7721,mesh_cracks =0.13; shove =0.07; poth =1.01,pdi =10.33; sdi =10.35; age =17,False
3,Matai Way,0,557,All,470,ChipSeal_P,Preserve,Mono,2,2025,False,False,51240,5124,mesh_cracks =0.11; shove =0.07; poth =0.07,pdi =0.97; sdi =4.48; age =20,False
1038,Gossey Drive North,1319,1723,All,138,ChipSeal_P,Preserve,Mono,2,2025,False,False,36360,3636,mesh_cracks =18.44; shove =3.79; poth =0.1,pdi =32.54; sdi =24.37; age =11,False
9339,Weston Way,1051,1219,All,197,ChipSeal_P,Preserve,Mono,2,2025,False,False,37300,3730,mesh_cracks =0.27; shove =0.08; poth =0.08,pdi =5.09; sdi =28.1; age =17,False
15,Fendall Close,736,814,All,31,ChipSeal_P,Preserve,Mono,2,2025,False,False,17630,1763,mesh_cracks =0.19; shove =1.12; poth =0.08,pdi =2.12; sdi =1.07; age =23,False
38,Tyler Place,334,389,All,88,ChipSeal_P,Preserve,Mono,2,2025,False,False,5830,583,mesh_cracks =0.16; shove =0.08; poth =0.07,pdi =1.04; sdi =1.05; age =33,False
1037,Epiha Road Upper,0,415,All,342,ChipSeal_P,Preserve,Mono,2,2025,False,False,37350,3735,mesh_cracks =0.17; shove =8.01; poth =0.1,pdi =14.88; sdi =25.26; age =11,False
